,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label,lable
180,1,0,9,1,3,2,2,0,0.0,
185,1,0,3,0,0,0,0,0,0.0,
186,0,1,3,0,0,2,0,0,0.0,
189,1,0,10,0,0,5,1,0,0.0,
190,0,1,3,0,0,1,1,0,0.0,
191,1,0,9,1,3,2,2,0,0.0,
199,1,0,10,0,0,5,1,0,0.0,
200,0,1,3,0,0,1,1,0,0.0,
201,0,0,10,1,3,3,2,0,0.0,
202,2,0,4,1,3,1,0,0,0.0,
203,2,2,4,0,0,4,0,0,0.0,
204,2,2,4,1,2,2,0,0,0.0,
205,2,2,4,1,2,3,0,0,0.0,
206,2,2,4,1,1,2,0,0,0.0,
207,2,2,6,1,3,3,0,0,0.0,
210,2,2,4,1,3,2,0,0,0.0,
213,1,1,3,1,2,2,0,1,1.0,
216,1,1,5,1,3,3,0,1,1.0,
218,1,1,4,1,1,3,0,1,1.0,
219,1,1,7,1,2,3,0,0,1.0,
221,2,1,5,1,2,1,1,0,1.0,
230,0,0,4,0,0,1,1,0,0.0,
235,2,2,9,0,0,4,2,0,0.0,
236,0,2,4,0,0,1,1,0,0.0,
239,2,1,7,0,0,3,1,0,0.0,
244,0,2,5,0,0,1,1,0,0.0,
245,1,0,5,0,0,4,1,0,0.0,
248,0,2,5,0,0,3,1,0,0.0,
250,0,1,6,0,0,1,1,0,0.0,
254,0,2,5,0,0,3,1,0,0.0,
255,0,0,5,0,0,2,0,0,0.0,
256,0,0,4,0,0,0,0,0,0.0,
258,1,1,4,0,0,3,1,0,0.0,
261,0,2,3,0,0,2,0,0,0.0,
265,0,2,8,1,1,4,1,0,0.0,
271,2,2,5,0,0,3,0,0,0.0,
273,2,1,6,0,0,3,1,0,0.0,
276,2,2,5,0,0,3,1,0,0.0,
278,1,2,4,0,0,4,0,0,0.0,
286,1,0,6,1,1,4,0,0,0.0,
290,0,1,3,0,0,2,0,0,0.0,
304,2,2,7,0,0,3,1,0,0.0,
309,1,0,6,1,1,4,0,0,0.0,
311,0,1,9,0,0,0,2,0,0.0,
312,1,0,7,0,0,2,1,0,0.0,
317,0,1,6,0,0,1,1,0,0.0,
323,0,1,10,0,0,5,1,0,0.0,
328,1,0,6,1,1,4,0,0,0.0,
332,0,0,10,0,0,0,2,0,0.0,
333,1,0,4,0,0,1,1,0,0.0,
334,2,1,6,0,0,3,0,0,0.0,
339,1,0,6,1,1,4,0,0,0.0,
341,0,1,7,0,0,1,3,0,0.0,
342,2,0,5,0,0,0,1,0,0.0,
347,0,2,8,0,0,3,2,0,0.0,
352,1,0,6,1,1,4,0,0,0.0,
354,0,1,6,0,0,2,1,0,0.0,
365,0,1,3,0,0,1,0,0,0.0,
370,1,0,6,1,1,4,0,0,0.0,
372,0,1,9,1,1,5,1,0,0.0,
373,1,0,5,0,0,1,1,0,0.0,
376,2,1,5,0,0,2,1,0,0.0,
381,1,0,6,1,1,4,0,0,0.0,
384,0,0,5,0,0,1,0,0,0.0,
397,0,0,4,0,0,2,0,0,0.0,
400,2,1,3,0,0,2,1,0,0.0,
412,2,1,5,0,0,1,1,0,0.0,
418,2,1,4,0,0,0,1,0,0.0,
423,0,2,10,0,0,2,2,0,0.0,
428,1,0,6,1,1,4,0,0,0.0,
431,1,0,6,0,0,1,3,0,0.0,
437,1,0,6,1,1,4,0,0,0.0,
439,0,1,3,0,0,1,0,0,0.0,
445,2,2,10,0,0,4,3,0,0.0,
450,0,2,10,0,0,3,2,0,0.0,
451,1,0,8,0,0,2,1,0,0.0,
466,0,2,10,0,0,5,2,0,0.0,
494,1,0,6,1,1,4,0,0,0.0,
496,0,1,4,0,0,0,1,0,0.0,
497,0,0,3,0,0,1,1,0,0.0,
498,0,0,5,0,0,1,1,0,0.0,
505,0,1,9,0,0,2,1,0,0.0,
511,1,0,6,1,1,4,0,0,0.0,
513,0,1,3,0,0,1,0,0,0.0,
514,1,0,10,0,0,1,3,0,0.0,
517,0,1,7,0,0,2,1,1,0.0,
518,1,0,7,0,0,0,3,0,0.0,
520,0,1,10,0,0,1,1,0,0.0,
527,0,1,8,0,0,3,1,0,0.0,
532,2,1,6,0,0,4,1,0,0.0,
538,1,0,4,0,0,1,2,0,0.0,
539,0,1,5,0,0,2,1,0,0.0,
549,1,0,6,1,1,4,0,0,0.0,
558,1,0,6,1,1,4,0,0,0.0,
561,1,0,6,0,0,0,1,0,0.0,
567,1,0,6,1,1,4,0,0,0.0,
571,0,1,7,0,0,2,1,0,0.0,
576,1,0,6,1,1,4,0,0,0.0,
578,0,1,4,0,0,0,1,0,0.0,
579,1,0,10,0,0,3,1,0,0.0,
594,1,0,10,0,0,0,4,0,0.0,
599,2,2,5,0,0,2,0,0,0.0,
600,2,2,8,0,0,2,1,0,0.0,
603,1,0,9,0,0,6,0,0,0.0,
604,0,1,5,0,0,2,1,0,0.0,
605,1,0,7,0,0,3,1,0,0.0,
606,1,1,10,0,0,7,0,0,0.0,
607,0,1,5,0,0,1,1,0,0.0,
608,1,0,8,0,0,1,3,0,0.0,
612,0,2,5,0,0,4,0,0,0.0,
614,0,1,4,0,0,0,2,0,0.0,
615,0,0,10,0,0,4,1,0,0.0,
620,0,2,5,0,0,4,0,0,0.0,
622,0,1,7,0,0,4,0,0,0.0,
623,1,0,5,0,0,3,1,0,0.0,
626,1,0,7,0,0,3,1,0,0.0,
629,2,1,8,1,2,3,0,0,0.0,
630,0,2,8,0,0,4,1,0,0.0,
631,1,0,6,0,0,4,1,0,0.0,
633,2,2,4,0,0,3,0,0,0.0,
640,0,1,4,0,0,2,0,0,0.0,
643,0,2,5,0,0,1,0,0,0.0,
645,0,1,6,0,0,4,0,0,0.0,
646,1,0,8,0,0,3,1,0,0.0,
651,0,2,4,0,0,4,0,0,0.0,
653,0,1,3,0,0,2,0,0,0.0,
654,1,0,10,0,0,4,1,0,0.0,
655,0,1,9,0,0,4,1,0,0.0,
656,1,0,6,0,0,2,2,0,0.0,
659,1,1,3,0,0,2,0,0,0.0,
662,0,2,5,0,0,3,0,0,0.0,
667,2,2,9,0,0,6,1,0,0.0,
668,0,2,5,0,0,1,1,0,0.0,
681,2,2,5,0,0,2,0,0,0.0,
682,2,2,8,0,0,2,1,0,0.0,
684,0,2,6,0,0,2,1,0,0.0,
689,2,2,4,0,0,4,0,0,0.0,
692,2,1,4,0,0,2,1,0,0.0,
694,2,2,8,0,0,4,1,0,0.0,
697,2,2,5,0,0,4,0,0,0.0,
698,0,2,3,0,0,1,1,0,0.0,
700,2,2,5,0,0,2,0,0,0.0,
0,2,0,3,0,0,2,0,0,0.0,
1,2,2,4,0,0,2,0,0,0.0,
7,2,0,3,0,0,2,0,0,0.0,
17,2,2,4,1,3,1,1,0,0.0,
18,2,2,4,1,1,1,1,0,0.0,
20,2,1,4,0,0,1,0,0,0.0,
24,0,2,4,1,3,2,0,0,0.0,
26,2,2,10,0,0,6,1,0,0.0,
27,2,2,3,0,0,2,0,0,0.0,
29,2,1,3,1,1,1,0,0,0.0,
31,2,2,3,1,3,1,1,0,1.0,
32,2,2,4,1,3,1,1,0,1.0,
33,2,2,4,1,2,3,0,1,1.0,
34,2,2,4,1,1,1,1,0,1.0,
35,2,2,5,1,1,3,1,1,1.0,
36,2,2,6,1,2,3,2,1,1.0,
38,2,2,3,0,0,1,1,0,0.0,
39,2,2,4,0,0,2,1,0,0.0,
40,2,2,3,1,1,1,0,0,0.0,
43,2,1,7,1,1,2,1,0,0.0,
46,0,2,5,0,0,2,1,0,0.0,
48,0,1,3,0,0,1,0,0,0.0,
49,2,0,3,0,0,1,1,0,0.0,
60,0,2,4,0,0,0,2,0,0.0,
61,2,0,3,0,0,1,1,0,0.0,
62,2,2,4,1,1,1,1,0,0.0,
63,0,2,8,0,0,1,2,0,0.0,
66,2,2,4,1,3,1,1,0,0.0,
71,2,2,3,0,0,1,1,0,0.0,
74,2,1,6,0,0,1,1,0,0.0,
76,2,1,3,0,0,1,1,0,0.0,
81,2,2,4,0,0,3,0,0,0.0,
82,2,2,3,0,0,1,0,0,0.0,
85,2,2,3,0,0,1,1,0,0.0,
88,2,0,3,0,0,3,0,0,0.0,
89,2,2,6,0,0,3,0,0,0.0,
92,2,2,3,0,0,3,0,0,0.0,
95,2,0,3,0,0,3,0,0,0.0,
96,2,2,8,0,0,3,2,1,0.0,
99,2,0,3,0,0,3,0,0,0.0,
100,2,2,5,1,3,2,0,0,0.0,
103,2,2,3,0,0,2,0,0,0.0,
109,2,0,3,0,0,3,0,0,0.0,
112,0,2,10,0,0,5,2,0,0.0,
115,2,2,5,0,0,2,0,0,0.0,
116,1,2,9,0,0,2,1,0,0.0,
117,0,1,9,1,1,5,1,0,0.0,
122,2,2,5,0,0,2,0,0,0.0,
128,2,1,7,0,0,1,2,0,0.0,
131,1,1,4,0,0,1,1,0,0.0,
0,2,0,3,0,0,1,1,0,0.0,
5,0,0,3,0,0,2,0,0,0.0,
6,2,0,3,0,0,2,1,0,0.0,
8,0,0,3,0,0,2,0,0,0.0,
9,2,0,5,0,0,3,1,0,0.0,
14,2,1,8,0,0,3,1,0,0.0,
17,0,1,10,0,0,3,2,0,0.0,
18,0,0,3,0,0,2,0,0,0.0,
19,2,0,5,0,0,3,1,0,0.0,
23,1,1,3,0,0,2,1,0,0.0,
24,1,1,8,0,0,3,1,0,0.0,
28,2,1,10,0,0,3,2,0,0.0,
30,2,2,3,0,0,2,1,0,0.0,
32,2,2,4,0,0,2,0,0,0.0,
36,2,2,3,0,0,1,1,0,0.0,
37,2,2,3,0,0,1,1,0,0.0,
38,2,2,3,0,0,2,0,0,0.0,
39,2,2,3,0,0,1,1,0,0.0,
40,2,2,4,0,0,2,1,0,0.0,
41,2,2,5,0,0,1,2,0,0.0,
42,2,2,4,0,0,2,1,0,0.0,
47,0,2,9,0,0,4,1,0,0.0,
49,2,2,9,0,0,4,1,0,0.0,
60,1,1,10,0,0,4,1,0,0.0,
63,0,1,7,0,0,4,1,0,0.0,
65,0,2,7,1,2,3,0,0,0.0,
67,2,2,7,1,2,3,0,0,0.0,
76,2,1,9,0,0,3,0,0,0.0,
77,2,2,4,0,0,3,0,0,0.0,
78,2,2,4,0,0,3,0,0,0.0,
79,0,2,6,0,0,3,1,0,0.0,
80,1,0,9,1,2,3,1,0,0.0,
83,0,2,10,1,2,4,1,0,0.0,
85,2,2,10,1,2,4,1,0,0.0,
86,0,2,8,0,0,2,1,0,0.0,
87,1,0,6,0,0,1,2,0,0.0,
92,1,1,9,0,0,4,3,0,0.0,
93,2,1,7,0,0,3,1,0,0.0,
94,1,2,3,0,0,3,0,0,0.0,
95,1,1,3,0,0,3,0,0,0.0,
98,1,1,3,0,0,2,0,0,0.0,
102,1,1,3,0,0,2,0,0,0.0,
108,0,2,4,0,0,2,1,0,0.0,
109,1,0,9,1,1,4,1,0,0.0,
112,0,2,10,1,1,4,1,0,0.0,
114,2,2,10,1,1,4,1,0,0.0,
116,1,2,3,0,0,2,0,0,0.0,
118,1,1,6,0,0,2,1,0,0.0,
119,2,1,5,0,0,4,0,0,0.0,
122,0,2,4,0,0,2,1,0,0.0,
123,1,0,9,0,0,4,0,0,0.0,
126,0,2,10,0,0,4,1,0,0.0,
128,2,2,10,0,0,4,1,0,0.0,
135,1,1,10,0,0,6,1,0,0.0,
136,0,1,4,0,0,2,0,0,0.0,
140,1,1,3,0,0,3,0,0,0.0,
142,1,1,3,0,0,3,0,0,0.0,
143,1,1,4,0,0,2,0,0,0.0,
145,1,1,3,0,0,3,0,0,0.0,
147,1,1,3,0,0,3,0,0,0.0,
151,2,2,3,0,0,3,0,0,0.0,
152,2,2,3,0,0,3,0,0,0.0,
153,0,2,5,0,0,2,2,0,0.0,
154,1,0,7,0,0,3,1,0,0.0,
158,0,2,8,0,0,4,1,0,0.0,
160,2,2,8,0,0,4,1,0,0.0,
163,1,0,3,0,0,2,1,0,0.0,
165,1,1,3,0,0,3,0,0,0.0,
166,1,1,3,0,0,2,1,0,0.0,
167,1,1,3,0,0,2,1,0,0.0,
168,1,1,3,0,0,3,0,0,0.0,
171,1,1,3,0,0,3,0,0,0.0,
175,2,1,3,0,0,3,0,0,0.0,
178,0,2,4,0,0,1,1,0,0.0,
193,1,1,10,0,0,4,1,0,0.0,
197,2,1,7,0,0,2,1,0,0.0,
198,1,2,3,0,0,3,0,0,0.0,
200,1,1,3,0,0,3,0,0,0.0,
204,1,1,3,0,0,2,0,0,0.0,
205,1,1,3,0,0,2,0,0,0.0,
206,1,1,3,0,0,2,0,0,0.0,
207,1,1,3,0,0,1,0,0,0.0,
208,2,1,3,0,0,3,0,0,0.0,
211,0,2,4,0,0,1,1,0,0.0,
219,0,2,10,0,0,3,1,0,0.0,
220,1,0,5,0,0,1,1,0,0.0,
222,0,1,3,0,0,1,0,0,0.0,
229,2,1,5,0,0,3,0,0,0.0,
230,1,2,4,0,0,2,1,0,0.0,
232,1,1,3,0,0,2,1,0,0.0,
234,1,1,3,0,0,3,0,0,0.0,
237,1,1,4,0,0,3,0,0,0.0,
